-----Epoch 0 开始训练-----

Total step : 9400      Batch loss: 4.3769      Epoch average loss: 4.3220
Total step : 9500      Batch loss: 3.8290      Epoch average loss: 4.3155
Total step : 9600      Batch loss: 3.4656      Epoch average loss: 4.3089
Total step : 9700      Batch loss: 4.4223      Epoch average loss: 4.3031
Total step : 9800      Batch loss: 3.4837      Epoch average loss: 4.2970
Total step : 9900      Batch loss: 4.3086      Epoch average loss: 4.2909
Total step : 10000      Batch loss: 3.4619      Epoch average loss: 4.2851
Total step : 10100      Batch loss: 4.1189      Epoch average loss: 4.2794
Total step : 10200      Batch loss: 3.7710      Epoch average loss: 4.2734
Total step : 10300      Batch loss: 3.9149      Epoch average loss: 4.2670
Total step : 10400      Batch loss: 3.5712      Epoch average loss: 4.2609
Total step : 10500      Batch loss: 3.6525      Epoch average loss: 4.2558
Total step : 10600      Batch loss: 3.6405      Epoch average loss: 4.2501
Total step : 10700      Batch loss: 3.7166      Epoch average loss: 4.2444
Total step : 10800      Batch loss: 3.8406      Epoch average loss: 4.2391
Total step : 10900      Batch loss: 3.3345      Epoch average loss: 4.2325
Total step : 11000      Batch loss: 3.7306      Epoch average loss: 4.2266
Total step : 11100      Batch loss: 4.5097      Epoch average loss: 4.2217
Total step : 11200      Batch loss: 3.7592      Epoch average loss: 4.2164
Total step : 11300      Batch loss: 3.6146      Epoch average loss: 4.2104
Total step : 11400      Batch loss: 3.3751      Epoch average loss: 4.2054
Total step : 11500      Batch loss: 4.7654      Epoch average loss: 4.2001
Total step : 11600      Batch loss: 3.6169      Epoch average loss: 4.1953
Total step : 11700      Batch loss: 3.6780      Epoch average loss: 4.1902
Total step : 11800      Batch loss: 3.2175      Epoch average loss: 4.1854
Total step : 11900      Batch loss: 3.3045      Epoch average loss: 4.1803
Total step : 12000      Batch loss: 3.5678      Epoch average loss: 4.1751
Total step : 12100      Batch loss: 3.2659      Epoch average loss: 4.1698
Total step : 12200      Batch loss: 3.4607      Epoch average loss: 4.1646
Total step : 12300      Batch loss: 2.8577      Epoch average loss: 4.1599
